Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2019,University of New South Wales,705.0,127.0,832.0,False,16200.0,legacy_xls_table8,3013,University of New South Wales,171497997,88663435.0,82834562.0,171497997.0
2019,University of Technology Sydney,292.0,25.0,317.0,False,11964.0,legacy_xls_table8,3016,University of Technology Sydney,30648528,17385148.0,13263380.0,30648528.0
2019,University of Wollongong,235.0,38.0,273.0,False,7746.0,legacy_xls_table8,1058,University of Wollongong,37693648,22840259.0,14853389.0,37693648.0
2019,Western Sydney University,146.0,,146.0,True,9512.0,legacy_xls_table8,3004,Western Sydney University,19174253,11134979.0,8039274.0,19174253.0
2019,Deakin University,243.0,,243.0,True,13227.0,legacy_xls_table8,3030,Deakin University,32777494,19751088.0,13026406.0,32777494.0
2019,Federation University Australia(a),32.0,,32.0,True,3418.0,legacy_xls_table8,2154,Federation University Australia,3624742,2124204.0,1500538.0,3624742.0
2019,La Trobe University,218.0,12.0,230.0,False,9022.0,legacy_xls_table8,3020,La Trobe University,34233061,18340530.0,15892531.0,34233061.0
2019,Monash University,791.0,,791.0,True,23758.0,legacy_xls_table8,3035,Monash University,169985480,88128795.0,81856685.0,169985480.0
2019,RMIT University,326.0,31.0,357.0,False,19413.0,legacy_xls_table8,3034,Royal Melbourne Institute of Technology,33438797,21145932.0,12292865.0,33438797.0
2019,Swinburne University of Technology,171.0,19.0,190.0,False,7556.0,legacy_xls_table8,2177,Swinburne University of Technology,17874038,11273569.0,6600469.0,17874038.0
2019,The University of Melbourne,854.0,112.0,966.0,False,22390.0,legacy_xls_table8,3036,The University of Melbourne,204472821,99880895.0,104591926.0,204472821.0
